{'batch_size': 256, 'epochs': 200, 'subgraph_dim': 256, 'feature_dim': 51, 'save_model': True, 'lr': 0.001, 'lr_decay': 0.75, 'decay_interval': 20, 'MolCLR_dim': 512}
Epoch 	   Time(sec) 	Loss_train 	     ACC_test 	 Precision_test 	 Recall_test 	 F1_test
0          46.1138      39.4715          0.9626      0.8942              0.8880          0.8911
1          82.7940      16.4554          0.9686      0.9132              0.9036          0.9084
2          118.7914      11.0869          0.9740      0.9216              0.9280          0.9247
3          156.1562      8.9468          0.9744      0.9203              0.9323          0.9263
4          192.5058      7.8668          0.9765      0.9292              0.9349          0.9321
5          229.0745      6.9462          0.9768      0.9301              0.9358          0.9329
6          265.6768      5.9105          0.9779      0.9350              0.9366          0.9358
7          302.0094      5.8318          0.9791      0.9385              0.9401          0.9393
8          337.8945      5.0489          0.9791      0.9340              0.9453          0.9396
9          372.8474      4.6313          0.9798      0.9395              0.9436          0.9415
10          407.4282      4.7922          0.9777      0.9261              0.9462          0.9360
11          440.9508      4.4079          0.9792      0.9416              0.9375          0.9395
12          474.7129      4.2143          0.9801      0.9396              0.9453          0.9424
13          510.2044      3.8736          0.9809      0.9429              0.9462          0.9445
14          544.8500      3.9995          0.9794      0.9333              0.9479          0.9406
15          581.1894      3.5394          0.9803      0.9374              0.9488          0.9431
16          617.4341      3.4282          0.9798      0.9395              0.9436          0.9415
17          653.7746      3.4982          0.9815      0.9485              0.9436          0.9460
18          689.7077      3.4792          0.9806      0.9428              0.9444          0.9436
19          725.3839      2.2657          0.9813      0.9408              0.9514          0.9461
20          760.9418      2.0185          0.9804      0.9390              0.9479          0.9434
21          798.5279      2.0475          0.9803      0.9397              0.9462          0.9429
22          836.1237      2.0304          0.9818      0.9440              0.9505          0.9472
23          872.7841      2.1950          0.9810      0.9399              0.9505          0.9452
24          910.1099      2.1160          0.9816      0.9455              0.9479          0.9467
25          947.3936      2.1892          0.9789      0.9309              0.9479          0.9394
26          984.9623      2.0934          0.9810      0.9407              0.9497          0.9451
27          1023.4308      2.1143          0.9809      0.9414              0.9479          0.9446
28          1061.2297      2.4231          0.9800      0.9411              0.9427          0.9419
29          1098.8838      2.0966          0.9813      0.9431              0.9488          0.9459
30          1136.8996      2.2398          0.9804      0.9428              0.9436          0.9432
31          1174.9713      2.0718          0.9818      0.9502              0.9436          0.9469
32          1212.5781      1.9820          0.9792      0.9333              0.9470          0.9401
33          1249.8330      1.8089          0.9806      0.9413              0.9462          0.9437
34          1287.6182      1.9310          0.9792      0.9253              0.9566          0.9407
35          1325.0137      1.8239          0.9804      0.9390              0.9479          0.9434
36          1356.7842      1.7926          0.9801      0.9381              0.9470          0.9425
37          1390.1103      1.9502          0.9813      0.9438              0.9479          0.9459
38          1428.3021      2.1657          0.9806      0.9428              0.9444          0.9436
39          1465.7785      1.4026          0.9813      0.9454              0.9462          0.9458
40          1501.8092      1.1997          0.9809      0.9444              0.9444          0.9444
41          1538.8002      1.0638          0.9824      0.9480              0.9497          0.9488
42          1575.5424      1.1823          0.9797      0.9417              0.9401          0.9409
43          1612.2741      1.2484          0.9807      0.9475              0.9401          0.9438
44          1649.2140      1.2272          0.9807      0.9413              0.9470          0.9442
45          1687.1134      1.2454          0.9819      0.9487              0.9462          0.9474
46          1724.2114      1.2646          0.9812      0.9500              0.9401          0.9450
47          1760.8666      1.1216          0.9813      0.9469              0.9444          0.9457
48          1796.6698      1.0407          0.9801      0.9411              0.9436          0.9423
49          1833.4486      1.2487          0.9812      0.9469              0.9436          0.9452
50          1870.0682      1.0980          0.9819      0.9471              0.9479          0.9475
51          1906.1682      1.3623          0.9822      0.9495              0.9470          0.9483
52          1942.9401      1.1521          0.9828      0.9520              0.9479          0.9500
53          1978.5965      1.1150          0.9810      0.9430              0.9470          0.9450
54          2016.0923      1.0407          0.9827      0.9473              0.9523          0.9498
55          2052.5617      1.2059          0.9827      0.9520              0.9470          0.9495
56          2089.4437      1.1135          0.9830      0.9521              0.9488          0.9504
57          2125.3065      1.1893          0.9828      0.9513              0.9488          0.9500
58          2162.6191      1.1211          0.9812      0.9453              0.9453          0.9453
59          2199.5961      0.8518          0.9822      0.9495              0.9470          0.9483
60          2235.2022      0.7509          0.9828      0.9505              0.9497          0.9501
61          2272.1785      0.7371          0.9822      0.9456              0.9514          0.9485
62          2308.9236      0.6921          0.9822      0.9487              0.9479          0.9483
63          2344.7902      0.8989          0.9819      0.9463              0.9488          0.9476
64          2376.3608      0.8373          0.9825      0.9528              0.9453          0.9490
65          2407.5981      0.7241          0.9809      0.9414              0.9479          0.9446
66          2438.8411      0.8259          0.9821      0.9441              0.9523          0.9481
67          2470.3311      0.7990          0.9813      0.9400              0.9523          0.9461
68          2501.5040      0.6455          0.9822      0.9495              0.9470          0.9483
69          2533.9580      0.6150          0.9833      0.9545              0.9479          0.9512
70          2569.8632      0.7465          0.9833      0.9506              0.9523          0.9514
71          2610.6571      0.7522          0.9812      0.9415              0.9497          0.9455
72          2651.8993      0.8039          0.9830      0.9497              0.9514          0.9506
73          2692.6128      0.8157          0.9831      0.9513              0.9505          0.9509
74          2734.0509      0.8162          0.9822      0.9480              0.9488          0.9484
75          2773.7846      0.6947          0.9837      0.9547              0.9505          0.9526
76          2809.5236      0.6436          0.9818      0.9432              0.9514          0.9473
77          2845.8422      0.6473          0.9819      0.9463              0.9488          0.9476
78          2882.2642      0.6916          0.9815      0.9439              0.9488          0.9463
79          2919.7478      0.4957          0.9818      0.9478              0.9462          0.9470
80          2956.0299      0.5299          0.9815      0.9462              0.9462          0.9462
81          2992.2031      0.4865          0.9822      0.9503              0.9462          0.9482
82          3027.2501      0.5181          0.9812      0.9476              0.9427          0.9452
83          3063.1803      0.5255          0.9816      0.9478              0.9453          0.9465
84          3099.6599      0.4541          0.9816      0.9462              0.9470          0.9466
85          3135.8008      0.4942          0.9810      0.9437              0.9462          0.9450
86          3170.5459      0.5110          0.9828      0.9528              0.9470          0.9499
87          3206.1496      0.4506          0.9819      0.9463              0.9488          0.9476
88          3241.8585      0.4881          0.9821      0.9479              0.9479          0.9479
89          3276.8077      0.5598          0.9830      0.9529              0.9479          0.9504
90          3312.6436      0.5303          0.9825      0.9520              0.9462          0.9491
91          3347.9015      0.5090          0.9825      0.9512              0.9470          0.9491
