{'batch_size': 256, 'epochs': 200, 'subgraph_dim': 256, 'feature_dim': 51, 'save_model': True, 'lr': 0.001, 'lr_decay': 0.75, 'decay_interval': 20, 'MolCLR_dim': 512}
Epoch 	   Time(sec) 	Loss_train 	     ACC_test 	 Precision_test 	 Recall_test 	 F1_test
0          30.6125      39.0565          0.9532      0.8721              0.8515          0.8617
1          54.8166      16.5689          0.9674      0.8972              0.9144          0.9057
2          79.0731      11.4257          0.9702      0.9186              0.9066          0.9125
3          102.5706      8.5757          0.9705      0.9115              0.9170          0.9142
4          126.3549      7.5422          0.9725      0.9069              0.9354          0.9209
5          150.4081      6.8313          0.9738      0.9145              0.9345          0.9244
6          172.4539      6.1620          0.9719      0.9072              0.9310          0.9190
7          195.1218      5.2369          0.9747      0.9192              0.9345          0.9268
8          218.4728      5.0475          0.9741      0.9233              0.9258          0.9246
9          242.9552      4.5734          0.9747      0.9200              0.9336          0.9267
10          266.6631      4.5145          0.9747      0.9207              0.9328          0.9267
11          290.7947      4.9473          0.9759      0.9271              0.9328          0.9299
12          314.4241      4.4938          0.9761      0.9220              0.9397          0.9308
13          338.0134      3.6901          0.9759      0.9241              0.9362          0.9302
14          362.8943      3.6862          0.9752      0.9187              0.9380          0.9283
15          386.8168      3.5370          0.9768      0.9275              0.9380          0.9327
16          410.6609      3.5098          0.9765      0.9251              0.9389          0.9319
17          434.2382      3.5878          0.9752      0.9195              0.9371          0.9282
18          458.3408      3.2940          0.9765      0.9341              0.9284          0.9312
19          482.7945      2.5121          0.9750      0.9165              0.9397          0.9280
20          506.6132      1.9723          0.9776      0.9241              0.9467          0.9353
21          530.0654      2.0459          0.9768      0.9282              0.9371          0.9326
22          553.7643      2.1277          0.9779      0.9316              0.9397          0.9357
23          577.0699      2.1553          0.9789      0.9335              0.9441          0.9388
24          601.5887      2.2405          0.9765      0.9251              0.9389          0.9319
25          626.1979      2.0884          0.9777      0.9293              0.9415          0.9354
26          650.2883      1.9830          0.9788      0.9365              0.9397          0.9381
27          674.1836      1.9990          0.9770      0.9275              0.9389          0.9332
28          698.4869      2.3176          0.9761      0.9264              0.9345          0.9304
29          722.3314      2.3988          0.9771      0.9254              0.9424          0.9338
30          746.0746      1.9351          0.9803      0.9424              0.9424          0.9424
31          769.7607      1.8481          0.9788      0.9350              0.9415          0.9382
32          794.2892      1.9288          0.9780      0.9287              0.9441          0.9363
33          818.2139      2.2244          0.9794      0.9374              0.9424          0.9399
34          842.6565      1.8865          0.9786      0.9334              0.9424          0.9379
35          867.6215      1.8367          0.9764      0.9273              0.9354          0.9313
36          892.2821      1.6376          0.9780      0.9362              0.9354          0.9358
37          916.1868      2.0780          0.9780      0.9324              0.9397          0.9361
38          939.7808      1.8534          0.9780      0.9309              0.9415          0.9362
39          964.4692      1.4002          0.9785      0.9333              0.9415          0.9374
40          988.9000      1.0505          0.9783      0.9303              0.9441          0.9371
41          1013.1292      1.1320          0.9803      0.9385              0.9467          0.9426
42          1036.6447      1.1036          0.9779      0.9309              0.9406          0.9357
43          1060.5783      1.4025          0.9773      0.9254              0.9432          0.9343
44          1084.7973      1.1673          0.9785      0.9348              0.9397          0.9373
45          1108.5831      1.2194          0.9776      0.9307              0.9389          0.9348
46          1132.6775      1.0991          0.9776      0.9300              0.9397          0.9348
47          1156.6810      1.2763          0.9768      0.9260              0.9397          0.9328
48          1180.9346      1.2650          0.9810      0.9396              0.9502          0.9449
49          1205.1826      1.2191          0.9780      0.9287              0.9441          0.9363
50          1228.9280      0.9674          0.9791      0.9381              0.9397          0.9389
51          1253.2165      1.1148          0.9798      0.9376              0.9450          0.9413
52          1277.6782      1.0875          0.9803      0.9370              0.9485          0.9427
53          1302.0998      1.3756          0.9785      0.9333              0.9415          0.9374
54          1326.5363      1.1268          0.9795      0.9352              0.9459          0.9405
55          1350.8605      1.3609          0.9785      0.9333              0.9415          0.9374
56          1375.4942      1.0536          0.9791      0.9366              0.9415          0.9390
57          1399.8493      0.9386          0.9783      0.9318              0.9424          0.9370
58          1424.5611      1.0013          0.9783      0.9318              0.9424          0.9370
59          1448.7425      0.7886          0.9788      0.9372              0.9389          0.9380
60          1472.8580      0.8164          0.9777      0.9278              0.9432          0.9355
61          1497.6006      0.8756          0.9771      0.9269              0.9406          0.9337
62          1521.7616      0.6456          0.9792      0.9382              0.9406          0.9394
63          1546.1720      0.6785          0.9777      0.9323              0.9380          0.9351
64          1570.1645      0.6824          0.9767      0.9245              0.9406          0.9325
65          1594.4835      0.6911          0.9768      0.9304              0.9345          0.9325
66          1618.3774      0.7432          0.9782      0.9332              0.9397          0.9365
67          1642.7436      0.8142          0.9785      0.9356              0.9389          0.9372
68          1666.9091      0.7418          0.9782      0.9340              0.9389          0.9364
69          1691.0340      0.7620          0.9776      0.9322              0.9371          0.9347
70          1715.2194      0.8704          0.9782      0.9317              0.9415          0.9366
71          1740.2191      0.6755          0.9783      0.9310              0.9432          0.9371
72          1764.3194      0.9922          0.9774      0.9277              0.9415          0.9345
73          1788.7075      0.8731          0.9783      0.9325              0.9415          0.9370
74          1812.9124      0.6867          0.9774      0.9262              0.9432          0.9347
75          1838.7426      0.6550          0.9780      0.9294              0.9432          0.9363
76          1862.7989      0.7692          0.9783      0.9310              0.9432          0.9371
77          1887.0240      0.6804          0.9780      0.9309              0.9415          0.9362
78          1911.4587      0.7907          0.9789      0.9358              0.9415          0.9386
79          1936.0836      0.5510          0.9777      0.9286              0.9424          0.9354
80          1959.8280      0.4734          0.9797      0.9383              0.9432          0.9408
81          1984.4317      0.4511          0.9788      0.9350              0.9415          0.9382
82          2008.6615      0.4153          0.9788      0.9334              0.9432          0.9383
83          2033.3455      0.4451          0.9794      0.9382              0.9415          0.9398
84          2058.6661      0.4536          0.9798      0.9407              0.9415          0.9411
85          2082.7434      0.5420          0.9788      0.9380              0.9380          0.9380
86          2107.6778      0.5153          0.9791      0.9351              0.9432          0.9391
87          2132.0097      0.4212          0.9788      0.9342              0.9424          0.9383
88          2156.8361      0.4323          0.9798      0.9422              0.9397          0.9410
89          2180.6221      0.5548          0.9785      0.9318              0.9432          0.9375
90          2203.8891      0.5083          0.9797      0.9406              0.9406          0.9406
91          2227.9421      0.4554          0.9788      0.9320              0.9450          0.9384
92          2252.0293      0.4213          0.9788      0.9357              0.9406          0.9382
93          2276.8847      0.5561          0.9785      0.9356              0.9389          0.9372
94          2300.5848      0.4946          0.9801      0.9392              0.9450          0.9421
95          2324.6731      0.4652          0.9794      0.9374              0.9424          0.9399
96          2348.8701      0.4856          0.9791      0.9389              0.9389          0.9389
97          2373.2864      0.4978          0.9791      0.9373              0.9406          0.9390
98          2397.2532      0.4413          0.9788      0.9327              0.9441          0.9384
99          2421.8776      0.3840          0.9785      0.9356              0.9389          0.9372
100          2445.6833      0.3497          0.9795      0.9390              0.9415          0.9403
101          2469.7799      0.3367          0.9798      0.9407              0.9415          0.9411
102          2493.8316      0.3300          0.9797      0.9414              0.9397          0.9406
103          2517.9948      0.4072          0.9791      0.9404              0.9371          0.9388
104          2542.1712      0.3161          0.9779      0.9324              0.9389          0.9356
105          2566.5124      0.3338          0.9791      0.9373              0.9406          0.9390
106          2590.5826      0.3527          0.9783      0.9325              0.9415          0.9370
107          2614.9375      0.3286          0.9789      0.9358              0.9415          0.9386
108          2639.4365      0.3482          0.9788      0.9350              0.9415          0.9382
109          2663.4641      0.3544          0.9791      0.9366              0.9415          0.9390
110          2686.0110      0.3552          0.9795      0.9390              0.9415          0.9403
111          2709.9281      0.3636          0.9791      0.9321              0.9467          0.9393
112          2733.8514      0.3497          0.9789      0.9328              0.9450          0.9388
113          2757.6953      0.3457          0.9800      0.9392              0.9441          0.9416
114          2782.6470      0.3640          0.9785      0.9311              0.9441          0.9376
115          2806.1500      0.3846          0.9779      0.9279              0.9441          0.9359
116          2830.8620      0.3233          0.9803      0.9416              0.9432          0.9424
117          2855.0888      0.2745          0.9795      0.9390              0.9415          0.9403
