{'batch_size': 256, 'epochs': 200, 'subgraph_dim': 256, 'feature_dim': 51, 'save_model': True, 'lr': 0.001, 'lr_decay': 0.75, 'decay_interval': 20, 'MolCLR_dim': 512}
Epoch 	   Time(sec) 	Loss_train 	     ACC_test 	 Precision_test 	 Recall_test 	 F1_test
0          40.3101      39.9323          0.9640      0.8845              0.8766          0.8805
1          73.0392      16.8364          0.9723      0.9067              0.9112          0.9089
2          105.7889      11.2889          0.9773      0.9233              0.9269          0.9251
3          137.7990      8.9344          0.9792      0.9335              0.9289          0.9312
4          170.2676      7.6490          0.9800      0.9206              0.9497          0.9349
5          203.2340      6.5032          0.9818      0.9355              0.9447          0.9401
6          235.5896      6.0897          0.9816      0.9380              0.9408          0.9394
7          267.9053      5.4438          0.9833      0.9404              0.9497          0.9450
8          300.3035      4.8571          0.9818      0.9363              0.9437          0.9400
9          333.0751      4.6674          0.9833      0.9421              0.9477          0.9449
10          365.3564      4.5178          0.9833      0.9336              0.9576          0.9454
11          397.6662      4.4495          0.9827      0.9359              0.9506          0.9432
12          428.9064      4.3127          0.9843      0.9425              0.9546          0.9485
13          456.0354      3.7860          0.9827      0.9384              0.9477          0.9430
14          488.6197      3.8586          0.9843      0.9451              0.9516          0.9484
15          521.5097      3.7954          0.9824      0.9324              0.9526          0.9424
16          553.8470      3.4569          0.9844      0.9487              0.9487          0.9487
17          585.9818      3.3517          0.9813      0.9353              0.9418          0.9385
18          618.1833      3.3959          0.9837      0.9493              0.9427          0.9460
19          650.2479      2.2419          0.9864      0.9511              0.9595          0.9553
20          682.0848      2.0326          0.9859      0.9509              0.9566          0.9537
21          714.4721      1.9816          0.9862      0.9537              0.9556          0.9546
22          747.2751      2.0895          0.9865      0.9574              0.9536          0.9555
23          780.1984      2.2992          0.9844      0.9460              0.9516          0.9488
24          812.3776      1.8975          0.9852      0.9437              0.9595          0.9515
25          845.2820      2.1145          0.9853      0.9481              0.9556          0.9518
26          877.7880      2.0748          0.9856      0.9544              0.9506          0.9525
27          909.8628      2.2597          0.9852      0.9472              0.9556          0.9514
28          942.2637      2.1424          0.9842      0.9433              0.9526          0.9479
29          975.1668      2.1105          0.9846      0.9505              0.9477          0.9491
30          1007.6168      2.0088          0.9858      0.9536              0.9526          0.9531
31          1039.1308      2.1103          0.9834      0.9430              0.9477          0.9453
32          1072.6403      1.8130          0.9837      0.9388              0.9546          0.9466
33          1106.3079      2.0200          0.9859      0.9483              0.9595          0.9539
34          1139.0465      1.8006          0.9853      0.9507              0.9526          0.9517
35          1172.4222      1.9399          0.9839      0.9415              0.9526          0.9470
36          1206.8280      1.6524          0.9833      0.9387              0.9516          0.9451
37          1239.5179      1.9303          0.9843      0.9425              0.9546          0.9485
38          1273.1072      1.8732          0.9856      0.9439              0.9625          0.9531
39          1305.7569      1.3165          0.9849      0.9471              0.9536          0.9503
40          1338.1070      1.1966          0.9840      0.9467              0.9477          0.9472
41          1371.0762      1.0562          0.9850      0.9445              0.9576          0.9510
42          1403.5973      1.1311          0.9867      0.9547              0.9576          0.9561
43          1436.4963      1.0818          0.9842      0.9399              0.9566          0.9481
44          1468.9859      1.0741          0.9843      0.9477              0.9487          0.9482
45          1501.8646      1.4381          0.9827      0.9384              0.9477          0.9430
46          1535.2407      1.1111          0.9856      0.9464              0.9595          0.9529
47          1567.5732      1.2037          0.9850      0.9498              0.9516          0.9507
48          1599.5242      1.2878          0.9847      0.9479              0.9516          0.9498
49          1632.9962      1.1712          0.9833      0.9430              0.9467          0.9448
50          1666.1735      1.2312          0.9844      0.9434              0.9546          0.9490
51          1699.1090      1.3236          0.9843      0.9442              0.9526          0.9484
52          1733.2530      1.2843          0.9846      0.9496              0.9487          0.9491
53          1765.8865      1.2192          0.9849      0.9479              0.9526          0.9503
54          1798.3226      1.0851          0.9825      0.9392              0.9457          0.9424
55          1831.4844      1.1153          0.9864      0.9546              0.9556          0.9551
56          1864.0813      1.2447          0.9865      0.9565              0.9546          0.9555
57          1896.8417      0.9727          0.9837      0.9431              0.9497          0.9464
58          1929.7895      1.0306          0.9856      0.9508              0.9546          0.9527
59          1962.1826      0.8695          0.9864      0.9502              0.9605          0.9553
60          1995.2114      0.7042          0.9864      0.9520              0.9585          0.9552
61          2026.7111      0.7475          0.9856      0.9447              0.9615          0.9530
62          2060.3179      0.6190          0.9867      0.9485              0.9645          0.9564
63          2093.3146      0.7656          0.9852      0.9489              0.9536          0.9513
64          2126.5597      0.7480          0.9859      0.9509              0.9566          0.9537
65          2159.2112      0.7200          0.9852      0.9437              0.9595          0.9515
66          2192.1569      0.7538          0.9853      0.9463              0.9576          0.9519
67          2224.8941      0.8074          0.9856      0.9473              0.9585          0.9529
68          2256.5997      0.7207          0.9842      0.9382              0.9585          0.9482
69          2289.5694      0.7480          0.9855      0.9481              0.9566          0.9523
70          2321.3046      0.7396          0.9861      0.9501              0.9585          0.9543
71          2354.8219      0.6911          0.9850      0.9454              0.9566          0.9509
72          2388.7523      0.6177          0.9856      0.9482              0.9576          0.9528
73          2421.6923      0.7726          0.9849      0.9462              0.9546          0.9504
74          2455.7123      0.6461          0.9852      0.9463              0.9566          0.9514
75          2487.3855      0.8023          0.9853      0.9481              0.9556          0.9518
