{'batch_size': 256, 'epochs': 200, 'subgraph_dim': 256, 'feature_dim': 51, 'save_model': True, 'lr': 0.001, 'lr_decay': 0.75, 'decay_interval': 20, 'MolCLR_dim': 512}
Epoch 	   Time(sec) 	Loss_train 	     ACC_test 	 Precision_test 	 Recall_test 	 F1_test
93          2277.9327      0.5351          0.9813      0.9429              0.9402          0.9416
94          2302.3143      0.5012          0.9818      0.9464              0.9393          0.9428
95          2326.5085      0.4571          0.9813      0.9429              0.9402          0.9416
96          2350.8112      0.4409          0.9821      0.9440              0.9440          0.9440
97          2375.2000      0.4926          0.9822      0.9491              0.9393          0.9442
98          2399.0345      0.5035          0.9824      0.9433              0.9468          0.9450
99          2422.6722      0.4170          0.9818      0.9439              0.9421          0.9430
100          2446.4584      0.3979          0.9821      0.9465              0.9412          0.9438
101          2469.3918      0.3083          0.9824      0.9457              0.9440          0.9449
102          2493.1341      0.3005          0.9827      0.9484              0.9430          0.9457
103          2517.5431      0.3182          0.9821      0.9456              0.9421          0.9439
104          2550.0873      0.3016          0.9818      0.9439              0.9421          0.9430
105          2582.0830      0.3721          0.9806      0.9385              0.9402          0.9394
106          2614.3942      0.3648          0.9827      0.9484              0.9430          0.9457
107          2646.6045      0.3087          0.9827      0.9509              0.9402          0.9455
108          2678.9894      0.3872          0.9807      0.9394              0.9402          0.9398
109          2710.5651      0.2975          0.9815      0.9454              0.9384          0.9419
110          2742.9448      0.3156          0.9819      0.9473              0.9393          0.9433
111          2775.2322      0.3450          0.9822      0.9474              0.9412          0.9443
112          2806.9207      0.3206          0.9825      0.9492              0.9412          0.9451
113          2840.4788      0.3791          0.9827      0.9509              0.9402          0.9455
114          2873.1779      0.3225          0.9822      0.9491              0.9393          0.9442
115          2905.7681      0.4103          0.9806      0.9401              0.9384          0.9393
116          2937.7880      0.3309          0.9824      0.9466              0.9430          0.9448
117          2969.9414      0.3481          0.9831      0.9502              0.9440          0.9471
118          3001.5823      0.3291          0.9824      0.9449              0.9449          0.9449
119          3034.1285      0.2724          0.9825      0.9500              0.9402          0.9451
120          3065.5882      0.2769          0.9819      0.9439              0.9430          0.9435
121          3098.1521      0.2585          0.9824      0.9466              0.9430          0.9448
122          3129.7466      0.2405          0.9824      0.9474              0.9421          0.9448
123          3162.4173      0.2382          0.9821      0.9456              0.9421          0.9439
124          3194.5460      0.2507          0.9813      0.9412              0.9421          0.9417
125          3227.0348      0.2260          0.9827      0.9484              0.9430          0.9457
126          3259.3856      0.2510          0.9818      0.9414              0.9449          0.9432
127          3291.9214      0.2268          0.9825      0.9466              0.9440          0.9453
128          3324.4909      0.2771          0.9816      0.9463              0.9384          0.9423
129          3356.5986      0.2590          0.9813      0.9421              0.9412          0.9416
130          3388.8496      0.2427          0.9824      0.9474              0.9421          0.9448
131          3420.4091      0.2312          0.9810      0.9403              0.9412          0.9407
132          3452.2085      0.2069          0.9824      0.9466              0.9430          0.9448
133          3484.1623      0.1982          0.9809      0.9386              0.9421          0.9404
134          3516.5116      0.2787          0.9818      0.9422              0.9440          0.9431
135          3548.8649      0.2512          0.9821      0.9423              0.9458          0.9441
136          3581.1766      0.2410          0.9825      0.9458              0.9449          0.9454
137          3613.4631      0.2311          0.9822      0.9465              0.9421          0.9443
138          3645.9450      0.2348          0.9819      0.9431              0.9440          0.9435
139          3678.3560      0.2137          0.9821      0.9473              0.9402          0.9438
140          3711.2970      0.2002          0.9818      0.9422              0.9440          0.9431
141          3742.9761      0.1996          0.9813      0.9429              0.9402          0.9416
142          3777.2811      0.1839          0.9809      0.9411              0.9393          0.9402
143          3810.1208      0.1960          0.9825      0.9492              0.9412          0.9451
144          3842.0374      0.2081          0.9822      0.9457              0.9430          0.9444
145          3873.7086      0.1594          0.9822      0.9432              0.9458          0.9445
146          3906.0060      0.2065          0.9827      0.9467              0.9449          0.9458
147          3938.1965      0.2306          0.9821      0.9432              0.9449          0.9440
148          3970.9272      0.1974          0.9821      0.9456              0.9421          0.9439
149          4002.8701      0.1891          0.9824      0.9466              0.9430          0.9448
150          4035.3396      0.1698          0.9822      0.9457              0.9430          0.9444
151          4066.4119      0.1530          0.9813      0.9429              0.9402          0.9416
152          4098.3778      0.1645          0.9821      0.9448              0.9430          0.9439
153          4131.1984      0.1721          0.9827      0.9500              0.9412          0.9456
154          4164.0424      0.2150          0.9822      0.9457              0.9430          0.9444
155          4195.6317      0.2055          0.9828      0.9501              0.9421          0.9461
156          4227.8902      0.1847          0.9822      0.9465              0.9421          0.9443
157          4260.0290      0.1657          0.9825      0.9466              0.9440          0.9453
158          4292.3232      0.1627          0.9821      0.9473              0.9402          0.9438
159          4324.4836      0.1628          0.9833      0.9494              0.9458          0.9476
160          4356.7868      0.1898          0.9825      0.9466              0.9440          0.9453
161          4389.7088      0.1777          0.9821      0.9440              0.9440          0.9440
162          4422.5325      0.1422          0.9824      0.9466              0.9430          0.9448
163          4453.5728      0.1555          0.9822      0.9432              0.9458          0.9445
164          4485.2427      0.1432          0.9828      0.9467              0.9458          0.9463
165          4516.7841      0.1524          0.9828      0.9476              0.9449          0.9462
166          4548.9807      0.1606          0.9825      0.9458              0.9449          0.9454
167          4582.2274      0.1474          0.9819      0.9439              0.9430          0.9435
