{'batch_size': 256, 'epochs': 200, 'subgraph_dim': 256, 'feature_dim': 51, 'save_model': True, 'lr': 0.001, 'lr_decay': 0.75, 'decay_interval': 20, 'MolCLR_dim': 512}
Epoch 	   Time(sec) 	Loss_train 	     ACC_test 	 Precision_test 	 Recall_test 	 F1_test
0          29.4050      39.5122          0.9653      0.9013              0.8756          0.8882
1          54.9108      16.9013          0.9737      0.9245              0.9069          0.9156
2          79.5319      11.4185          0.9770      0.9221              0.9326          0.9273
3          103.4380      8.8764          0.9815      0.9370              0.9459          0.9414
4          127.7217      7.2936          0.9818      0.9355              0.9497          0.9425
5          151.3889      6.5271          0.9797      0.9305              0.9411          0.9358
6          175.2869      6.4659          0.9830      0.9417              0.9506          0.9461
7          199.0379      5.1240          0.9825      0.9466              0.9421          0.9443
8          223.5614      4.9677          0.9821      0.9356              0.9516          0.9435
9          247.6764      4.8097          0.9837      0.9444              0.9525          0.9485
10          271.5449      4.7470          0.9844      0.9439              0.9582          0.9510
11          295.4996      4.3568          0.9836      0.9370              0.9601          0.9484
12          319.3798      4.4077          0.9828      0.9359              0.9563          0.9460
13          343.3943      4.0631          0.9844      0.9464              0.9554          0.9509
14          367.4140      3.6257          0.9853      0.9467              0.9611          0.9538
15          391.2064      3.7985          0.9821      0.9372              0.9497          0.9434
16          415.4259      3.6847          0.9842      0.9454              0.9544          0.9499
17          439.4840      3.4363          0.9844      0.9481              0.9535          0.9508
18          463.5796      3.2059          0.9834      0.9394              0.9563          0.9478
19          487.7330      2.4302          0.9839      0.9420              0.9563          0.9491
20          512.8510      2.1733          0.9847      0.9448              0.9592          0.9519
21          536.7216      2.0696          0.9833      0.9385              0.9563          0.9473
22          560.6078      2.1981          0.9856      0.9536              0.9554          0.9545
23          584.4086      2.1025          0.9844      0.9422              0.9601          0.9511
24          608.6495      2.0188          0.9849      0.9465              0.9582          0.9523
25          632.6247      2.2292          0.9846      0.9439              0.9592          0.9515
