{'batch_size': 256, 'epochs': 200, 'subgraph_dim': 256, 'feature_dim': 51, 'save_model': True, 'lr': 0.001, 'lr_decay': 0.75, 'decay_interval': 20, 'MolCLR_dim': 512}
Epoch 	   Time(sec) 	Loss_train 	     ACC_test 	 Precision_test 	 Recall_test 	 F1_test
0          29.3050      39.7341          0.9632      0.8822              0.8855          0.8839
1          53.2937      16.5684          0.9679      0.8855              0.9149          0.9000
2          76.6053      11.3096          0.9755      0.9108              0.9366          0.9235
3          100.0031      8.7319          0.9750      0.9024              0.9442          0.9228
4          123.8128      7.7332          0.9774      0.9210              0.9376          0.9292
5          148.7644      6.5612          0.9762      0.9134              0.9385          0.9258
6          172.7310      5.7700          0.9794      0.9315              0.9385          0.9350
7          197.0923      5.4213          0.9786      0.9255              0.9404          0.9329
8          220.4578      5.1760          0.9767      0.9222              0.9309          0.9266
9          243.9892      4.8911          0.9786      0.9193              0.9480          0.9334
10          267.2278      4.3544          0.9809      0.9281              0.9527          0.9402
11          288.8735      4.0186          0.9800      0.9350              0.9385          0.9367
12          310.6085      3.9519          0.9779      0.9220              0.9395          0.9306
13          331.7502      4.0476          0.9813      0.9347              0.9480          0.9413
14          352.7032      3.4512          0.9792      0.9227              0.9480          0.9351
15          373.8861      3.5224          0.9779      0.9228              0.9385          0.9306
16          395.0786      3.4347          0.9788      0.9232              0.9442          0.9336
17          416.2696      3.5718          0.9801      0.9326              0.9423          0.9374
18          437.9394      3.2812          0.9785      0.9192              0.9470          0.9329
19          459.3198      2.1891          0.9803      0.9335              0.9423          0.9379
20          480.9785      1.9530          0.9767      0.9137              0.9413          0.9273
21          502.4363      1.8874          0.9789      0.9241              0.9442          0.9340
22          524.2786      2.0255          0.9794      0.9306              0.9395          0.9350
23          545.9546      2.1726          0.9774      0.9250              0.9328          0.9289
24          567.5543      2.3585          0.9797      0.9284              0.9442          0.9362
25          589.2590      2.0654          0.9783      0.9286              0.9347          0.9316
26          614.1171      2.3073          0.9789      0.9257              0.9423          0.9339
27          638.1029      1.8521          0.9783      0.9214              0.9432          0.9322
28          661.5882      2.0905          0.9791      0.9249              0.9442          0.9345
29          685.1979      2.1089          0.9794      0.9243              0.9470          0.9355
30          709.2080      2.1384          0.9800      0.9317              0.9423          0.9370
31          733.3842      1.8278          0.9792      0.9203              0.9508          0.9353
32          756.9600      1.8816          0.9788      0.9224              0.9451          0.9336
33          780.7153      1.9325          0.9795      0.9283              0.9432          0.9357
34          804.2974      1.9061          0.9779      0.9228              0.9385          0.9306
35          827.6783      1.6888          0.9794      0.9282              0.9423          0.9352
36          850.7559      1.9674          0.9795      0.9283              0.9432          0.9357
37          874.3801      1.8343          0.9795      0.9299              0.9413          0.9356
38          898.1220      1.9719          0.9795      0.9315              0.9395          0.9355
39          921.3196      1.3690          0.9792      0.9290              0.9404          0.9346
40          945.0925      1.1337          0.9797      0.9348              0.9366          0.9357
41          968.5844      1.1472          0.9798      0.9341              0.9385          0.9363
42          991.9135      1.1869          0.9785      0.9278              0.9366          0.9322
43          1015.6530      1.1310          0.9815      0.9397              0.9432          0.9415
44          1038.9179      1.0817          0.9788      0.9272              0.9395          0.9333
45          1062.4021      1.0931          0.9791      0.9265              0.9423          0.9343
46          1086.3269      1.1195          0.9791      0.9289              0.9395          0.9341
47          1109.7908      1.3066          0.9798      0.9316              0.9413          0.9365
48          1133.2436      1.3274          0.9801      0.9326              0.9423          0.9374
49          1156.8947      1.2231          0.9791      0.9289              0.9395          0.9341
50          1180.5051      1.1845          0.9800      0.9317              0.9423          0.9370
51          1204.3475      0.9948          0.9804      0.9343              0.9423          0.9383
52          1227.6533      1.2944          0.9792      0.9330              0.9357          0.9343
53          1250.8846      1.0957          0.9785      0.9335              0.9300          0.9318
54          1274.5371      0.9254          0.9797      0.9308              0.9413          0.9360
55          1297.9324      1.1454          0.9798      0.9308              0.9423          0.9365
56          1321.0891      1.1758          0.9794      0.9298              0.9404          0.9351
57          1344.6359      1.1207          0.9804      0.9343              0.9423          0.9383
58          1368.2243      1.2641          0.9788      0.9256              0.9413          0.9334
59          1392.0642      0.8109          0.9810      0.9395              0.9404          0.9400
60          1416.1036      0.8044          0.9797      0.9332              0.9385          0.9358
61          1440.0440      0.6473          0.9803      0.9376              0.9376          0.9376
62          1463.3747      0.6452          0.9800      0.9350              0.9385          0.9367
63          1487.0706      0.7227          0.9813      0.9413              0.9404          0.9408
64          1510.3696      0.6968          0.9807      0.9394              0.9385          0.9389
65          1533.0636      0.6827          0.9797      0.9340              0.9376          0.9358
66          1556.7142      0.7936          0.9813      0.9438              0.9376          0.9407
67          1578.4139      0.7431          0.9798      0.9308              0.9423          0.9365
68          1602.2962      0.8226          0.9818      0.9390              0.9461          0.9425
69          1625.9836      0.7381          0.9812      0.9387              0.9423          0.9405
70          1648.8828      0.7330          0.9800      0.9325              0.9413          0.9369
71          1672.3197      0.6429          0.9804      0.9327              0.9442          0.9384
72          1695.6829      0.6661          0.9794      0.9331              0.9366          0.9348
73          1718.8353      0.6527          0.9815      0.9405              0.9423          0.9414
74          1742.5012      0.8924          0.9792      0.9274              0.9423          0.9348
75          1766.3540      0.8082          0.9797      0.9284              0.9442          0.9362
76          1789.9267      0.6645          0.9795      0.9299              0.9413          0.9356
77          1813.5198      0.5754          0.9806      0.9328              0.9451          0.9389
78          1837.4452      0.6857          0.9798      0.9308              0.9423          0.9365
79          1861.0631      0.5338          0.9812      0.9355              0.9461          0.9407
80          1884.3694      0.5519          0.9807      0.9345              0.9442          0.9393
81          1907.7187      0.4729          0.9813      0.9396              0.9423          0.9410
82          1930.6755      0.4515          0.9813      0.9380              0.9442          0.9411
83          1954.1552      0.4504          0.9800      0.9358              0.9376          0.9367
84          1977.4388      0.5803          0.9801      0.9367              0.9376          0.9371
85          2000.8213      0.5838          0.9813      0.9388              0.9432          0.9410
86          2023.9136      0.4341          0.9788      0.9288              0.9376          0.9331
87          2047.3944      0.4350          0.9818      0.9406              0.9442          0.9424
88          2071.1081      0.4576          0.9785      0.9231              0.9423          0.9326
89          2094.6456      0.5106          0.9806      0.9360              0.9413          0.9387
90          2117.8655      0.5032          0.9794      0.9298              0.9404          0.9351
91          2141.4864      0.4829          0.9801      0.9318              0.9432          0.9375
92          2165.0659      0.5103          0.9806      0.9352              0.9423          0.9387
93          2187.7946      0.5078          0.9818      0.9398              0.9451          0.9425
94          2210.6928      0.4698          0.9803      0.9326              0.9432          0.9379
95          2234.0331      0.5241          0.9803      0.9335              0.9423          0.9379
96          2256.8354      0.5177          0.9807      0.9353              0.9432          0.9392
97          2280.5528      0.4331          0.9801      0.9310              0.9442          0.9375
98          2304.4557      0.3871          0.9807      0.9377              0.9404          0.9391
99          2327.8519      0.4008          0.9807      0.9328              0.9461          0.9394
100          2351.0780      0.3653          0.9803      0.9343              0.9413          0.9378
101          2374.5954      0.3556          0.9818      0.9406              0.9442          0.9424
102          2398.5610      0.3438          0.9819      0.9398              0.9461          0.9430
103          2422.0189      0.3137          0.9807      0.9361              0.9423          0.9392
104          2444.9555      0.3108          0.9803      0.9335              0.9423          0.9379
105          2468.1652      0.3497          0.9815      0.9413              0.9413          0.9413
106          2493.0631      0.3478          0.9806      0.9344              0.9432          0.9388
107          2516.4946      0.3370          0.9806      0.9328              0.9451          0.9389
108          2539.7593      0.3617          0.9810      0.9370              0.9432          0.9401
