{'batch_size': 256, 'epochs': 200, 'subgraph_dim': 256, 'feature_dim': 51, 'save_model': True, 'lr': 0.001, 'lr_decay': 0.75, 'decay_interval': 20, 'MolCLR_dim': 512}
Epoch 	   Time(sec) 	Loss_train 	     ACC_test 	 Precision_test 	 Recall_test 	 F1_test
0          29.2021      39.5253          0.9625      0.8900              0.8706          0.8802
1          53.5942      16.4178          0.9717      0.9050              0.9178          0.9114
2          77.8012      11.3699          0.9756      0.9148              0.9330          0.9238
3          101.9800      8.9366          0.9777      0.9276              0.9320          0.9298
4          125.7151      7.7468          0.9795      0.9191              0.9547          0.9365
5          149.4612      6.7822          0.9804      0.9394              0.9367          0.9381
6          174.0201      5.7253          0.9827      0.9461              0.9443          0.9452
7          197.4931      5.6447          0.9831      0.9421              0.9518          0.9469
8          220.9797      4.9590          0.9833      0.9463              0.9481          0.9472
9          244.8570      4.8142          0.9819      0.9425              0.9433          0.9429
10          269.2099      4.5238          0.9819      0.9425              0.9433          0.9429
11          293.5168      4.4573          0.9815      0.9398              0.9433          0.9416
12          318.2366      4.0704          0.9843      0.9560              0.9443          0.9501
13          343.2281      3.7486          0.9834      0.9463              0.9490          0.9477
14          367.8222      3.5172          0.9846      0.9518              0.9509          0.9513
15          391.5373      4.0325          0.9843      0.9500              0.9509          0.9504
16          415.3198      3.4583          0.9831      0.9388              0.9556          0.9471
17          437.4416      3.4522          0.9822      0.9476              0.9396          0.9436
18          460.6466      3.5215          0.9828      0.9461              0.9452          0.9457
19          485.1134      2.5057          0.9837      0.9456              0.9518          0.9487
20          509.2519      2.0728          0.9836      0.9549              0.9405          0.9477
21          534.1406      1.8903          0.9855      0.9529              0.9556          0.9543
22          558.2315      1.8999          0.9834      0.9514              0.9433          0.9474
23          583.2300      2.0482          0.9843      0.9500              0.9509          0.9504
24          607.7224      2.5204          0.9852      0.9571              0.9490          0.9531
25          633.3161      2.1944          0.9850      0.9589              0.9462          0.9525
26          659.3852      1.9577          0.9849      0.9553              0.9490          0.9522
27          684.0580      2.1672          0.9849      0.9545              0.9500          0.9522
28          708.8790      2.2545          0.9828      0.9436              0.9481          0.9458
29          733.3295      2.2755          0.9836      0.9489              0.9471          0.9480
30          757.7870      2.0240          0.9849      0.9669              0.9367          0.9516
31          782.6520      1.9360          0.9836      0.9549              0.9405          0.9477
32          806.4901      2.1548          0.9828      0.9387              0.9537          0.9461
33          830.4191      1.9482          0.9855      0.9590              0.9490          0.9540
34          854.6405      1.8479          0.9870      0.9620              0.9556          0.9588
35          878.8866      1.9201          0.9861      0.9583              0.9537          0.9560
36          902.7273      1.9701          0.9839      0.9550              0.9424          0.9487
37          927.3335      1.8981          0.9859      0.9600              0.9509          0.9554
38          952.3249      1.6865          0.9852      0.9503              0.9566          0.9534
39          976.3791      1.2798          0.9849      0.9553              0.9490          0.9522
40          1000.6218      1.0552          0.9859      0.9608              0.9500          0.9554
41          1025.1525      1.0535          0.9868      0.9567              0.9603          0.9585
42          1049.8639      1.1187          0.9843      0.9466              0.9547          0.9506
43          1074.4416      1.2290          0.9849      0.9553              0.9490          0.9522
44          1099.7573      1.2131          0.9853      0.9563              0.9509          0.9536
45          1124.0855      1.1216          0.9858      0.9582              0.9518          0.9550
46          1148.6675      1.2229          0.9839      0.9482              0.9500          0.9491
47          1173.2867      1.2436          0.9852      0.9503              0.9566          0.9534
48          1197.6010      1.1509          0.9852      0.9520              0.9547          0.9533
49          1222.5974      1.0925          0.9856      0.9496              0.9603          0.9549
50          1247.5478      1.3674          0.9862      0.9566              0.9566          0.9566
51          1271.5649      1.0433          0.9844      0.9492              0.9528          0.9510
52          1296.0233      1.1584          0.9846      0.9492              0.9537          0.9515
53          1320.8046      1.1877          0.9843      0.9517              0.9490          0.9504
54          1345.4102      1.1108          0.9850      0.9545              0.9509          0.9527
55          1369.7163      1.2104          0.9843      0.9517              0.9490          0.9504
56          1394.4578      1.1231          0.9847      0.9501              0.9537          0.9519
57          1419.3479      1.0027          0.9842      0.9466              0.9537          0.9501
58          1444.5937      1.1771          0.9846      0.9442              0.9594          0.9518
59          1468.8551      0.7974          0.9859      0.9573              0.9537          0.9555
60          1493.4214      0.7711          0.9865      0.9592              0.9556          0.9574
61          1518.2504      0.6171          0.9855      0.9538              0.9547          0.9542
62          1543.2227      0.7084          0.9843      0.9552              0.9452          0.9502
63          1567.6866      0.7365          0.9852      0.9571              0.9490          0.9531
64          1592.0341      0.6460          0.9852      0.9554              0.9509          0.9531
65          1617.0480      0.7831          0.9849      0.9597              0.9443          0.9519
66          1641.9669      0.6843          0.9850      0.9519              0.9537          0.9528
67          1667.0882      0.8074          0.9850      0.9545              0.9509          0.9527
68          1691.8340      0.8244          0.9853      0.9563              0.9509          0.9536
69          1717.0807      0.7309          0.9849      0.9545              0.9500          0.9522
70          1741.7100      0.7372          0.9847      0.9544              0.9490          0.9517
71          1765.8076      0.7018          0.9847      0.9553              0.9481          0.9517
72          1790.3326      0.6945          0.9861      0.9653              0.9462          0.9557
73          1814.6674      0.6998          0.9852      0.9571              0.9490          0.9531
74          1839.2692      0.7480          0.9847      0.9553              0.9481          0.9517
75          1863.2100      0.7399          0.9844      0.9509              0.9509          0.9509
76          1888.3170      0.6693          0.9850      0.9519              0.9537          0.9528
77          1913.3077      0.6625          0.9849      0.9553              0.9490          0.9522
78          1938.5569      0.7318          0.9831      0.9412              0.9528          0.9470
79          1963.4157      0.5939          0.9850      0.9511              0.9547          0.9529
80          1986.9407      0.5289          0.9861      0.9565              0.9556          0.9561
81          2010.6398      0.5133          0.9864      0.9583              0.9556          0.9570
82          2034.5894      0.4885          0.9862      0.9566              0.9566          0.9566
83          2058.8004      0.4546          0.9850      0.9562              0.9490          0.9526
84          2083.1870      0.5211          0.9865      0.9558              0.9594          0.9576
85          2108.8378      0.4847          0.9847      0.9570              0.9462          0.9516
86          2132.5957      0.5128          0.9852      0.9520              0.9547          0.9533
87          2157.2507      0.4387          0.9858      0.9556              0.9547          0.9551
88          2180.7941      0.4515          0.9852      0.9563              0.9500          0.9531
89          2204.7576      0.5733          0.9858      0.9573              0.9528          0.9550
90          2229.2630      0.4920          0.9850      0.9554              0.9500          0.9527
91          2253.5918      0.5417          0.9852      0.9537              0.9528          0.9532
92          2277.9092      0.4975          0.9856      0.9625              0.9462          0.9543
93          2302.5659      0.5081          0.9843      0.9587              0.9415          0.9500
94          2327.5043      0.4710          0.9849      0.9553              0.9490          0.9522
95          2352.7482      0.4430          0.9849      0.9615              0.9424          0.9518
96          2377.3702      0.5586          0.9856      0.9616              0.9471          0.9543
97          2402.2343      0.4523          0.9865      0.9601              0.9547          0.9574
98          2426.7204      0.4894          0.9849      0.9571              0.9471          0.9521
99          2451.5109      0.4350          0.9862      0.9636              0.9490          0.9562
100          2475.5744      0.3623          0.9864      0.9610              0.9528          0.9569
101          2499.6909      0.2981          0.9864      0.9618              0.9518          0.9568
102          2523.9454      0.3299          0.9862      0.9609              0.9518          0.9564
103          2548.5122      0.3259          0.9862      0.9609              0.9518          0.9564
104          2572.6207      0.2769          0.9849      0.9545              0.9500          0.9522
105          2597.1339      0.4260          0.9847      0.9553              0.9481          0.9517
106          2621.8539      0.3281          0.9852      0.9528              0.9537          0.9533
107          2645.0780      0.3293          0.9859      0.9556              0.9556          0.9556
108          2669.5367      0.3285          0.9855      0.9607              0.9471          0.9539
109          2694.3306      0.3449          0.9856      0.9590              0.9500          0.9545
110          2719.0386      0.3135          0.9846      0.9552              0.9471          0.9512
111          2743.4749      0.3685          0.9849      0.9553              0.9490          0.9522
112          2767.6024      0.3146          0.9846      0.9561              0.9462          0.9511
113          2791.8303      0.3851          0.9847      0.9536              0.9500          0.9518
114          2816.0149      0.3162          0.9846      0.9552              0.9471          0.9512
115          2840.0074      0.3392          0.9865      0.9628              0.9518          0.9573
116          2863.9425      0.3465          0.9855      0.9572              0.9509          0.9541
117          2887.9074      0.3609          0.9847      0.9527              0.9509          0.9518
118          2911.9921      0.3481          0.9861      0.9618              0.9500          0.9558
119          2936.2838      0.2979          0.9852      0.9554              0.9509          0.9531
120          2959.9412      0.2220          0.9855      0.9598              0.9481          0.9539
121          2984.0489      0.2976          0.9852      0.9571              0.9490          0.9531
122          3008.0984      0.2380          0.9853      0.9563              0.9509          0.9536
123          3032.1141      0.2356          0.9853      0.9572              0.9500          0.9536
124          3055.8408      0.2332          0.9843      0.9509              0.9500          0.9504
125          3081.7052      0.2787          0.9849      0.9562              0.9481          0.9521
126          3105.1476      0.2621          0.9852      0.9537              0.9528          0.9532
127          3128.9724      0.2481          0.9850      0.9494              0.9566          0.9530
128          3152.6773      0.2635          0.9859      0.9573              0.9537          0.9555
129          3176.8391      0.2604          0.9865      0.9584              0.9566          0.9575
130          3201.3849      0.2688          0.9855      0.9538              0.9547          0.9542
131          3225.4703      0.2188          0.9850      0.9562              0.9490          0.9526
132          3249.2911      0.2589          0.9849      0.9571              0.9471          0.9521
133          3273.0822      0.2670          0.9855      0.9590              0.9490          0.9540
134          3296.7987      0.2951          0.9842      0.9569              0.9424          0.9496
135          3320.6099      0.2471          0.9837      0.9559              0.9405          0.9481
136          3344.8640      0.2103          0.9849      0.9527              0.9518          0.9523
137          3369.9417      0.2000          0.9843      0.9534              0.9471          0.9503
138          3393.6384      0.3160          0.9855      0.9581              0.9500          0.9540
139          3417.3872      0.2734          0.9858      0.9547              0.9556          0.9552
140          3441.0066      0.1741          0.9859      0.9582              0.9528          0.9555
141          3464.7186      0.1930          0.9858      0.9599              0.9500          0.9549
142          3488.2123      0.1998          0.9853      0.9589              0.9481          0.9535
