{'batch_size': 256, 'epochs': 200, 'subgraph_dim': 256, 'feature_dim': 51, 'save_model': True, 'lr': 0.001, 'lr_decay': 0.75, 'decay_interval': 20, 'MolCLR_dim': 512}
Epoch 	   Time(sec) 	Loss_train 	     ACC_test 	 Precision_test 	 Recall_test 	 F1_test
0          36.1547      39.5504          0.9586      0.8678              0.8549          0.8613
1          66.3265      16.3584          0.9689      0.9014              0.8907          0.8960
2          95.9776      11.2718          0.9710      0.9076              0.8986          0.9031
3          124.2205      9.1941          0.9759      0.9098              0.9324          0.9210
4          154.2082      7.5087          0.9776      0.9163              0.9364          0.9263
5          182.4934      6.4425          0.9771      0.9177              0.9314          0.9245
6          211.7474      5.8723          0.9788      0.9227              0.9374          0.9300
7          240.3363      5.5824          0.9780      0.9166              0.9394          0.9278
8          270.3338      5.0727          0.9791      0.9304              0.9304          0.9304
9          299.9491      4.5402          0.9786      0.9185              0.9414          0.9298
10          330.4012      4.2750          0.9809      0.9312              0.9423          0.9368
11          359.6627      4.5538          0.9795      0.9272              0.9374          0.9323
12          389.7153      3.7843          0.9780      0.9215              0.9334          0.9274
13          420.6570      4.2931          0.9792      0.9213              0.9423          0.9317
14          449.6470      3.6383          0.9786      0.9251              0.9334          0.9292
15          478.5619      3.8279          0.9779      0.9231              0.9304          0.9267
16          509.6169      3.7012          0.9768      0.9111              0.9374          0.9241
17          538.7353      3.2046          0.9797      0.9199              0.9473          0.9334
18          569.4140      3.5249          0.9803      0.9276              0.9423          0.9349
19          599.3989      2.2469          0.9807      0.9286              0.9443          0.9364
20          628.8884      2.1206          0.9798      0.9241              0.9433          0.9336
21          659.7211      1.8910          0.9812      0.9288              0.9473          0.9380
22          689.6313      1.8817          0.9813      0.9306              0.9463          0.9384
23          718.5013      1.9135          0.9801      0.9209              0.9493          0.9349
24          748.6161      2.2094          0.9816      0.9282              0.9513          0.9396
25          778.3545      2.0534          0.9809      0.9254              0.9493          0.9372
26          809.3558      2.4143          0.9792      0.9254              0.9374          0.9314
