{'batch_size': 256, 'epochs': 200, 'subgraph_dim': 256, 'feature_dim': 51, 'save_model': True, 'lr': 0.001, 'lr_decay': 0.75, 'decay_interval': 20, 'MolCLR_dim': 512}
Epoch 	   Time(sec) 	Loss_train 	     ACC_test 	 Precision_test 	 Recall_test 	 F1_test
0          28.9843      39.2417          0.9592      0.8837              0.8686          0.8761
1          52.7793      16.2589          0.9729      0.9197              0.9172          0.9184
2          76.5376      11.3282          0.9731      0.9243              0.9127          0.9185
3          101.6430      8.7617          0.9774      0.9332              0.9307          0.9320
4          125.0083      7.3374          0.9749      0.9275              0.9208          0.9241
5          148.4822      6.4073          0.9761      0.9311              0.9244          0.9277
6          172.5105      5.9035          0.9791      0.9362              0.9379          0.9371
7          196.3487      5.5573          0.9774      0.9278              0.9370          0.9324
8          220.5554      4.8019          0.9771      0.9284              0.9343          0.9314
9          244.5957      5.0023          0.9767      0.9200              0.9415          0.9306
10          268.2653      4.2807          0.9789      0.9425              0.9298          0.9361
11          292.1303      4.1968          0.9774      0.9293              0.9352          0.9323
12          316.2183      4.0374          0.9785      0.9321              0.9388          0.9354
13          340.2921      3.9987          0.9774      0.9309              0.9334          0.9321
14          364.5809      3.7709          0.9791      0.9300              0.9451          0.9375
15          388.8060      3.4816          0.9780      0.9327              0.9352          0.9339
16          413.5184      3.5188          0.9782      0.9343              0.9343          0.9343
17          437.2157      3.2406          0.9785      0.9329              0.9379          0.9354
18          461.2959      3.5390          0.9789      0.9385              0.9343          0.9364
19          485.2925      2.3513          0.9800      0.9405              0.9388          0.9396
20          509.2008      2.0145          0.9783      0.9297              0.9406          0.9351
21          532.8961      2.1971          0.9777      0.9326              0.9334          0.9330
22          557.2840      2.0168          0.9786      0.9345              0.9370          0.9357
23          581.3868      2.1233          0.9798      0.9388              0.9397          0.9393
24          605.3903      2.0564          0.9791      0.9331              0.9415          0.9373
25          629.6954      2.1323          0.9792      0.9363              0.9388          0.9375
26          654.1496      2.0341          0.9767      0.9237              0.9370          0.9303
27          678.3044      2.0903          0.9783      0.9290              0.9415          0.9352
28          702.2169      1.8928          0.9777      0.9318              0.9343          0.9330
29          725.3022      1.9734          0.9788      0.9314              0.9415          0.9364
30          747.7277      1.8789          0.9782      0.9351              0.9334          0.9342
31          770.5255      2.1418          0.9788      0.9361              0.9361          0.9361
32          793.8298      2.1714          0.9759      0.9218              0.9343          0.9280
33          816.7323      1.8138          0.9774      0.9270              0.9379          0.9324
34          839.6081      1.8979          0.9780      0.9350              0.9325          0.9338
35          862.5955      1.7331          0.9767      0.9214              0.9397          0.9305
36          887.5879      1.9448          0.9792      0.9347              0.9406          0.9376
37          912.9446      1.9295          0.9765      0.9229              0.9370          0.9299
38          937.7695      1.8511          0.9791      0.9378              0.9361          0.9369
39          962.2379      1.3100          0.9803      0.9382              0.9433          0.9408
40          985.6810      1.1063          0.9779      0.9311              0.9361          0.9336
41          1008.4994      1.0821          0.9789      0.9377              0.9352          0.9365
42          1031.3662      1.0411          0.9782      0.9327              0.9361          0.9344
43          1056.7608      1.1949          0.9792      0.9355              0.9397          0.9376
44          1080.7137      1.1789          0.9798      0.9420              0.9361          0.9391
45          1106.5517      1.0794          0.9779      0.9295              0.9379          0.9337
46          1131.9863      1.1153          0.9789      0.9369              0.9361          0.9365
47          1156.1251      1.4396          0.9791      0.9354              0.9388          0.9371
48          1180.0794      1.2021          0.9779      0.9303              0.9370          0.9336
49          1204.6786      1.1075          0.9795      0.9395              0.9370          0.9383
50          1229.1478      1.0502          0.9783      0.9336              0.9361          0.9348
51          1253.5619      1.0756          0.9788      0.9369              0.9352          0.9360
52          1278.3218      1.0651          0.9800      0.9445              0.9343          0.9394
53          1302.4281      1.1479          0.9788      0.9353              0.9370          0.9362
54          1326.1926      1.1365          0.9786      0.9329              0.9388          0.9358
55          1350.3431      1.1741          0.9800      0.9421              0.9370          0.9395
56          1374.1516      1.3391          0.9782      0.9327              0.9361          0.9344
57          1398.0196      1.2483          0.9788      0.9369              0.9352          0.9360
58          1422.6030      1.2091          0.9806      0.9415              0.9415          0.9415
59          1447.3194      0.8004          0.9797      0.9388              0.9388          0.9388
60          1471.7955      0.6962          0.9785      0.9298              0.9415          0.9356
61          1496.2225      0.7243          0.9789      0.9377              0.9352          0.9365
62          1521.2476      0.7018          0.9804      0.9430              0.9388          0.9409
63          1545.8024      0.6758          0.9789      0.9377              0.9352          0.9365
64          1570.5706      0.6810          0.9795      0.9387              0.9379          0.9383
65          1595.6579      0.7266          0.9798      0.9412              0.9370          0.9391
66          1619.9752      0.7710          0.9792      0.9402              0.9343          0.9372
67          1643.7322      0.6933          0.9810      0.9457              0.9397          0.9427
68          1667.5169      0.7936          0.9800      0.9397              0.9397          0.9397
69          1692.1724      0.6521          0.9801      0.9413              0.9388          0.9401
70          1716.2081      0.6714          0.9797      0.9380              0.9397          0.9388
71          1740.1211      0.7167          0.9792      0.9363              0.9388          0.9375
72          1764.4322      0.7781          0.9797      0.9372              0.9406          0.9389
73          1788.5429      0.6527          0.9798      0.9388              0.9397          0.9393
74          1813.3637      0.7053          0.9783      0.9282              0.9424          0.9352
75          1838.0308      0.6811          0.9789      0.9393              0.9334          0.9363
76          1862.2904      0.8663          0.9801      0.9382              0.9424          0.9403
77          1886.8975      0.7486          0.9785      0.9329              0.9379          0.9354
78          1910.7019      0.8809          0.9803      0.9382              0.9433          0.9408
79          1935.3036      0.5393          0.9801      0.9382              0.9424          0.9403
80          1959.8306      0.5003          0.9788      0.9322              0.9406          0.9364
81          1984.2979      0.5556          0.9791      0.9378              0.9361          0.9369
82          2008.2246      0.5402          0.9786      0.9321              0.9397          0.9359
83          2033.9184      0.4143          0.9797      0.9357              0.9424          0.9390
84          2058.3019      0.5000          0.9794      0.9348              0.9415          0.9381
85          2082.8965      0.4774          0.9801      0.9397              0.9406          0.9402
86          2106.8465      0.5102          0.9794      0.9371              0.9388          0.9379
87          2131.3425      0.5762          0.9792      0.9363              0.9388          0.9375
88          2155.7416      0.5151          0.9786      0.9337              0.9379          0.9358
89          2180.1530      0.5127          0.9791      0.9378              0.9361          0.9369
90          2204.9662      0.4986          0.9792      0.9355              0.9397          0.9376
91          2229.4494      0.4538          0.9792      0.9378              0.9370          0.9374
92          2254.2839      0.5115          0.9795      0.9387              0.9379          0.9383
93          2278.5800      0.4834          0.9803      0.9430              0.9379          0.9404
94          2303.2872      0.5104          0.9782      0.9335              0.9352          0.9344
95          2328.5760      0.4941          0.9789      0.9346              0.9388          0.9367
96          2353.2328      0.4697          0.9776      0.9341              0.9307          0.9324
97          2378.0395      0.4412          0.9798      0.9373              0.9415          0.9394
98          2402.4733      0.5910          0.9782      0.9312              0.9379          0.9345
99          2427.1494      0.4014          0.9794      0.9371              0.9388          0.9379
100          2451.4276      0.4050          0.9800      0.9397              0.9397          0.9397
101          2475.5572      0.3657          0.9798      0.9373              0.9415          0.9394
102          2500.1379      0.3668          0.9794      0.9379              0.9379          0.9379
103          2524.2841      0.3427          0.9794      0.9363              0.9397          0.9380
104          2548.8517      0.2974          0.9794      0.9363              0.9397          0.9380
105          2573.1320      0.2785          0.9798      0.9373              0.9415          0.9394
106          2597.0091      0.3880          0.9792      0.9347              0.9406          0.9376
107          2621.6744      0.3558          0.9788      0.9322              0.9406          0.9364
108          2646.0653      0.2828          0.9789      0.9338              0.9397          0.9367
109          2670.5950      0.2932          0.9782      0.9289              0.9406          0.9347
110          2694.6294      0.3921          0.9780      0.9319              0.9361          0.9340
111          2719.0474      0.4093          0.9798      0.9404              0.9379          0.9392
112          2741.6379      0.3200          0.9789      0.9338              0.9397          0.9367
113          2764.0220      0.3625          0.9794      0.9379              0.9379          0.9379
114          2788.7476      0.3444          0.9798      0.9381              0.9406          0.9393
115          2812.5200      0.3584          0.9789      0.9338              0.9397          0.9367
116          2836.0057      0.2983          0.9791      0.9370              0.9370          0.9370
117          2860.6288      0.2830          0.9795      0.9372              0.9397          0.9384
118          2884.3521      0.3515          0.9786      0.9321              0.9397          0.9359
119          2907.7296      0.2745          0.9788      0.9345              0.9379          0.9362
120          2930.6759      0.2841          0.9780      0.9311              0.9370          0.9341
121          2953.8970      0.2624          0.9794      0.9379              0.9379          0.9379
122          2976.5929      0.2517          0.9792      0.9378              0.9370          0.9374
123          3000.9350      0.2637          0.9789      0.9377              0.9352          0.9365
124          3024.0405      0.2546          0.9780      0.9350              0.9325          0.9338
125          3047.4937      0.2663          0.9782      0.9382              0.9298          0.9340
126          3071.9141      0.2525          0.9801      0.9421              0.9379          0.9400
127          3096.5185      0.2349          0.9797      0.9404              0.9370          0.9387
128          3120.9892      0.2777          0.9797      0.9388              0.9388          0.9388
129          3144.4551      0.2593          0.9794      0.9395              0.9361          0.9378
130          3168.3751      0.2538          0.9795      0.9379              0.9388          0.9384
131          3192.6753      0.2593          0.9800      0.9429              0.9361          0.9395
132          3217.3262      0.2612          0.9795      0.9403              0.9361          0.9382
133          3241.2972      0.2608          0.9816      0.9499              0.9388          0.9443
134          3265.7601      0.2415          0.9804      0.9422              0.9397          0.9410
135          3289.5903      0.2543          0.9804      0.9438              0.9379          0.9409
136          3313.5076      0.2418          0.9804      0.9446              0.9370          0.9408
137          3337.8961      0.2830          0.9797      0.9388              0.9388          0.9388
138          3362.6651      0.2381          0.9800      0.9405              0.9388          0.9396
139          3387.2188      0.2032          0.9806      0.9455              0.9370          0.9412
140          3411.6029      0.1996          0.9798      0.9412              0.9370          0.9391
141          3435.1789      0.1931          0.9800      0.9397              0.9397          0.9397
142          3458.2574      0.1780          0.9792      0.9402              0.9343          0.9372
143          3482.4051      0.2180          0.9800      0.9437              0.9352          0.9394
144          3506.4358      0.1525          0.9794      0.9395              0.9361          0.9378
145          3530.5572      0.2244          0.9797      0.9412              0.9361          0.9386
146          3554.3383      0.1716          0.9801      0.9413              0.9388          0.9401
147          3578.8194      0.2126          0.9797      0.9396              0.9379          0.9387
148          3602.6424      0.2325          0.9789      0.9377              0.9352          0.9365
149          3627.0053      0.2039          0.9795      0.9372              0.9397          0.9384
150          3651.2530      0.1918          0.9792      0.9371              0.9379          0.9375
151          3675.4653      0.1603          0.9791      0.9362              0.9379          0.9371
152          3699.4371      0.1798          0.9785      0.9336              0.9370          0.9353
153          3723.2573      0.1730          0.9792      0.9386              0.9361          0.9374
154          3746.9328      0.1851          0.9797      0.9420              0.9352          0.9386
155          3771.2144      0.2121          0.9801      0.9413              0.9388          0.9401
156          3796.2254      0.1715          0.9795      0.9411              0.9352          0.9381
157          3821.1247      0.1933          0.9792      0.9371              0.9379          0.9375
158          3845.5005      0.1868          0.9800      0.9405              0.9388          0.9396
159          3870.0598      0.1921          0.9806      0.9447              0.9379          0.9413
160          3894.6505      0.1866          0.9804      0.9430              0.9388          0.9409
161          3918.7902      0.1621          0.9807      0.9447              0.9388          0.9418
162          3942.7584      0.1332          0.9797      0.9396              0.9379          0.9387
163          3966.6925      0.1710          0.9804      0.9422              0.9397          0.9410
164          3992.1835      0.1554          0.9801      0.9429              0.9370          0.9400
165          4016.2489      0.1996          0.9804      0.9430              0.9388          0.9409
166          4040.7010      0.1336          0.9801      0.9405              0.9397          0.9401
167          4064.8224      0.1666          0.9798      0.9381              0.9406          0.9393
168          4089.2589      0.1576          0.9798      0.9388              0.9397          0.9393
169          4113.3611      0.1630          0.9797      0.9380              0.9397          0.9388
170          4137.5132      0.1569          0.9798      0.9412              0.9370          0.9391
171          4162.0582      0.1462          0.9795      0.9379              0.9388          0.9384
172          4186.1030      0.1677          0.9797      0.9380              0.9397          0.9388
173          4210.1179      0.1522          0.9806      0.9431              0.9397          0.9414
174          4234.6534      0.1420          0.9798      0.9381              0.9406          0.9393
175          4259.2365      0.1416          0.9806      0.9431              0.9397          0.9414
176          4283.6763      0.1362          0.9803      0.9414              0.9397          0.9405
177          4307.8584      0.1356          0.9806      0.9431              0.9397          0.9414
178          4331.7754      0.1824          0.9791      0.9386              0.9352          0.9369
179          4355.8412      0.1536          0.9797      0.9412              0.9361          0.9386
180          4379.9729      0.1615          0.9795      0.9387              0.9379          0.9383
181          4403.9778      0.1150          0.9795      0.9387              0.9379          0.9383
182          4427.9436      0.1159          0.9795      0.9387              0.9379          0.9383
183          4452.3199      0.1291          0.9797      0.9396              0.9379          0.9387
184          4476.1553      0.1321          0.9792      0.9371              0.9379          0.9375
185          4499.8467      0.1273          0.9797      0.9404              0.9370          0.9387
186          4524.3907      0.1104          0.9801      0.9405              0.9397          0.9401
187          4548.6066      0.1353          0.9809      0.9456              0.9388          0.9422
188          4573.1893      0.1313          0.9806      0.9423              0.9406          0.9414
189          4597.3490      0.1225          0.9804      0.9430              0.9388          0.9409
190          4622.1027      0.1064          0.9806      0.9423              0.9406          0.9414
191          4646.8556      0.1172          0.9804      0.9414              0.9406          0.9410
192          4671.0283      0.1263          0.9810      0.9440              0.9415          0.9428
193          4695.3699      0.1224          0.9806      0.9423              0.9406          0.9414
194          4719.6795      0.1258          0.9806      0.9415              0.9415          0.9415
195          4743.4755      0.1085          0.9803      0.9390              0.9424          0.9407
196          4767.9238      0.1115          0.9800      0.9381              0.9415          0.9398
197          4793.5315      0.1002          0.9801      0.9390              0.9415          0.9402
198          4819.0062      0.1188          0.9807      0.9415              0.9424          0.9420
