{'batch_size': 256, 'epochs': 200, 'subgraph_dim': 256, 'feature_dim': 51, 'save_model': True, 'lr': 0.001, 'lr_decay': 0.75, 'decay_interval': 20, 'MolCLR_dim': 512}
Epoch 	   Time(sec) 	Loss_train 	     ACC_test 	 Precision_test 	 Recall_test 	 F1_test
0          49.0898      39.6187          0.9643      0.8889              0.8830          0.8859
1          88.0564      16.6141          0.9673      0.8888              0.9049          0.8967
2          122.8253      11.3402          0.9725      0.9238              0.8991          0.9113
3          162.1994      9.0035          0.9750      0.9170              0.9248          0.9209
4          196.7066      7.5294          0.9767      0.9291              0.9220          0.9255
5          234.0908      6.6985          0.9761      0.9191              0.9296          0.9243
6          273.5775      5.7977          0.9761      0.9199              0.9286          0.9242
7          314.3371      5.3712          0.9768      0.9218              0.9315          0.9266
8          353.9436      4.8777          0.9782      0.9314              0.9296          0.9305
9          390.6328      5.1510          0.9771      0.9260              0.9286          0.9273
10          427.0561      4.5031          0.9774      0.9182              0.9401          0.9290
11          463.0235      4.3448          0.9773      0.9181              0.9391          0.9285
12          498.8458      4.0648          0.9786      0.9316              0.9324          0.9320
13          535.7867      3.7285          0.9783      0.9282              0.9343          0.9312
14          572.7017      3.9627          0.9779      0.9239              0.9363          0.9301
15          609.3620      3.9102          0.9773      0.9261              0.9296          0.9278
16          645.9508      3.6497          0.9786      0.9291              0.9353          0.9322
17          682.3739      3.6238          0.9792      0.9294              0.9391          0.9342
18          718.6349      3.5185          0.9801      0.9306              0.9439          0.9372
19          755.3738      2.3054          0.9791      0.9261              0.9420          0.9340
20          791.7718      2.0053          0.9813      0.9410              0.9401          0.9405
21          827.5914      1.9901          0.9786      0.9283              0.9363          0.9323
22          864.2074      2.3969          0.9794      0.9311              0.9382          0.9346
23          900.5084      2.0328          0.9815      0.9385              0.9439          0.9412
24          936.6243      2.1182          0.9794      0.9352              0.9334          0.9343
25          973.4101      2.0733          0.9800      0.9330              0.9401          0.9365
26          1007.1350      2.0712          0.9791      0.9301              0.9372          0.9336
27          1043.8744      2.2135          0.9785      0.9266              0.9372          0.9319
28          1079.9507      2.1811          0.9789      0.9244              0.9429          0.9336
29          1115.9271      1.9369          0.9806      0.9365              0.9401          0.9383
30          1151.5093      1.9941          0.9798      0.9345              0.9372          0.9359
31          1189.2927      1.8885          0.9803      0.9389              0.9353          0.9371
32          1225.0860      1.9173          0.9795      0.9361              0.9334          0.9347
33          1262.7434      1.9265          0.9786      0.9307              0.9334          0.9321
34          1299.3999      1.9399          0.9812      0.9392              0.9410          0.9401
35          1335.9905      1.9075          0.9803      0.9331              0.9420          0.9375
36          1372.7173      2.0586          0.9797      0.9386              0.9315          0.9351
37          1409.7080      1.9058          0.9812      0.9392              0.9410          0.9401
38          1446.7342      1.7106          0.9806      0.9332              0.9439          0.9385
39          1483.6234      1.2753          0.9797      0.9304              0.9410          0.9357
40          1520.1464      1.0912          0.9803      0.9339              0.9410          0.9374
41          1556.8380      1.0110          0.9810      0.9350              0.9448          0.9399
42          1588.9875      1.2009          0.9792      0.9294              0.9391          0.9342
43          1625.3832      1.1481          0.9809      0.9374              0.9410          0.9392
44          1662.9136      1.1097          0.9806      0.9332              0.9439          0.9385
45          1699.9330      1.2918          0.9813      0.9384              0.9429          0.9407
46          1737.2537      1.1417          0.9806      0.9316              0.9458          0.9386
47          1774.0652      1.0355          0.9801      0.9380              0.9353          0.9366
48          1811.5596      1.0772          0.9807      0.9341              0.9439          0.9389
49          1849.2106      1.1545          0.9827      0.9457              0.9439          0.9448
50          1885.4816      1.1769          0.9798      0.9329              0.9391          0.9360
51          1921.9579      1.1394          0.9803      0.9339              0.9410          0.9374
52          1959.7417      1.5050          0.9825      0.9482              0.9401          0.9441
53          1996.9356      1.1095          0.9810      0.9358              0.9439          0.9398
54          2033.9452      1.1333          0.9813      0.9376              0.9439          0.9407
55          2071.8204      1.1164          0.9798      0.9337              0.9382          0.9359
56          2109.0640      1.0462          0.9804      0.9398              0.9353          0.9375
57          2146.4696      1.0597          0.9803      0.9380              0.9363          0.9371
58          2183.8653      1.0743          0.9815      0.9418              0.9401          0.9410
59          2220.7984      0.8308          0.9815      0.9427              0.9391          0.9409
60          2257.0450      0.7293          0.9812      0.9384              0.9420          0.9402
61          2294.3477      0.7436          0.9806      0.9382              0.9382          0.9382
62          2331.7165      0.7756          0.9815      0.9393              0.9429          0.9411
63          2368.6685      0.7256          0.9813      0.9384              0.9429          0.9407
64          2406.1235      0.5957          0.9813      0.9410              0.9401          0.9405
65          2443.4160      0.7618          0.9806      0.9424              0.9334          0.9379
66          2480.6177      0.7538          0.9821      0.9412              0.9448          0.9430
67          2517.3525      0.7095          0.9810      0.9400              0.9391          0.9396
68          2554.3824      0.7431          0.9801      0.9347              0.9391          0.9369
69          2591.8686      0.7284          0.9822      0.9430              0.9439          0.9434
70          2629.2974      0.6836          0.9803      0.9347              0.9401          0.9374
71          2667.2142      0.7173          0.9804      0.9373              0.9382          0.9377
72          2704.0277      0.6888          0.9824      0.9473              0.9401          0.9436
73          2740.7353      0.7510          0.9815      0.9410              0.9410          0.9410
74          2778.2690      0.6982          0.9813      0.9393              0.9420          0.9406
75          2815.7900      0.6276          0.9800      0.9321              0.9410          0.9366
76          2852.0308      0.6878          0.9803      0.9323              0.9429          0.9376
77          2889.2039      0.6899          0.9813      0.9393              0.9420          0.9406
78          2926.8213      0.7015          0.9801      0.9338              0.9401          0.9369
79          2963.8850      0.5762          0.9818      0.9403              0.9439          0.9421
80          3001.3386      0.5208          0.9800      0.9354              0.9372          0.9363
81          3038.9821      0.4697          0.9810      0.9375              0.9420          0.9397
82          3078.1279      0.4973          0.9815      0.9427              0.9391          0.9409
83          3115.7749      0.4741          0.9813      0.9410              0.9401          0.9405
84          3152.6426      0.4260          0.9804      0.9364              0.9391          0.9378
85          3189.4524      0.4616          0.9815      0.9461              0.9353          0.9407
86          3227.0163      0.4942          0.9807      0.9382              0.9391          0.9387
87          3264.9888      0.5330          0.9810      0.9400              0.9391          0.9396
88          3302.1823      0.5315          0.9816      0.9427              0.9401          0.9414
89          3339.0347      0.4634          0.9813      0.9426              0.9382          0.9404
90          3376.3136      0.5242          0.9800      0.9338              0.9391          0.9364
91          3412.8276      0.4807          0.9803      0.9364              0.9382          0.9373
92          3449.9636      0.4927          0.9809      0.9383              0.9401          0.9392
93          3486.9193      0.3993          0.9798      0.9354              0.9363          0.9358
94          3524.1815      0.5204          0.9815      0.9427              0.9391          0.9409
95          3561.3358      0.5152          0.9806      0.9348              0.9420          0.9384
96          3598.1511      0.4288          0.9806      0.9390              0.9372          0.9381
97          3635.2901      0.4519          0.9812      0.9392              0.9410          0.9401
98          3672.4317      0.4747          0.9818      0.9445              0.9391          0.9418
99          3709.5981      0.3888          0.9818      0.9462              0.9372          0.9417
100          3746.8186      0.3347          0.9801      0.9371              0.9363          0.9367
101          3784.2547      0.3407          0.9807      0.9416              0.9353          0.9384
102          3821.0593      0.3579          0.9819      0.9463              0.9382          0.9422
103          3858.1566      0.2871          0.9809      0.9383              0.9401          0.9392
104          3895.5999      0.3083          0.9801      0.9347              0.9391          0.9369
105          3932.3955      0.3558          0.9812      0.9409              0.9391          0.9400
106          3969.9966      0.3407          0.9813      0.9443              0.9363          0.9403
107          4007.4060      0.3131          0.9818      0.9462              0.9372          0.9417
108          4044.2746      0.3629          0.9810      0.9434              0.9353          0.9393
109          4081.1237      0.3207          0.9815      0.9410              0.9410          0.9410
110          4117.9120      0.4840          0.9816      0.9444              0.9382          0.9413
111          4155.3110      0.4188          0.9824      0.9447              0.9429          0.9438
112          4191.2568      0.2795          0.9822      0.9464              0.9401          0.9432
113          4228.2799      0.3052          0.9822      0.9481              0.9382          0.9431
114          4265.6260      0.2872          0.9816      0.9419              0.9410          0.9415
115          4303.1157      0.2378          0.9818      0.9420              0.9420          0.9420
116          4340.1487      0.2633          0.9816      0.9436              0.9391          0.9413
117          4377.9379      0.3450          0.9816      0.9470              0.9353          0.9411
118          4414.9782      0.3919          0.9810      0.9417              0.9372          0.9394
119          4452.7442      0.3299          0.9810      0.9425              0.9363          0.9394
120          4490.1207      0.2437          0.9809      0.9433              0.9343          0.9388
121          4526.8837      0.2262          0.9818      0.9453              0.9382          0.9417
122          4565.2509      0.2576          0.9801      0.9397              0.9334          0.9365
123          4601.2101      0.2436          0.9806      0.9390              0.9372          0.9381
124          4637.7296      0.2403          0.9800      0.9379              0.9343          0.9361
125          4674.3650      0.2386          0.9816      0.9444              0.9382          0.9413
126          4710.8634      0.2710          0.9806      0.9398              0.9363          0.9380
127          4747.6897      0.2548          0.9818      0.9471              0.9363          0.9416
128          4783.7283      0.2296          0.9827      0.9500              0.9391          0.9445
129          4819.3396      0.2289          0.9818      0.9420              0.9420          0.9420
130          4855.6503      0.2280          0.9818      0.9445              0.9391          0.9418
131          4891.6059      0.2174          0.9812      0.9434              0.9363          0.9398
132          4927.5561      0.2001          0.9816      0.9462              0.9363          0.9412
133          4963.5260      0.2823          0.9816      0.9436              0.9391          0.9413
134          5000.3299      0.2257          0.9816      0.9462              0.9363          0.9412
135          5036.6999      0.2304          0.9813      0.9435              0.9372          0.9403
136          5072.9026      0.2467          0.9806      0.9390              0.9372          0.9381
137          5108.6938      0.2240          0.9806      0.9382              0.9382          0.9382
138          5144.5634      0.2049          0.9813      0.9452              0.9353          0.9402
139          5177.9266      0.1903          0.9812      0.9434              0.9363          0.9398
140          5210.2883      0.2075          0.9810      0.9417              0.9372          0.9394
141          5246.9403      0.2095          0.9813      0.9435              0.9372          0.9403
142          5282.9254      0.2170          0.9809      0.9416              0.9363          0.9389
143          5319.4501      0.1624          0.9809      0.9416              0.9363          0.9389
144          5356.3568      0.1825          0.9807      0.9416              0.9353          0.9384
145          5392.6630      0.2090          0.9810      0.9417              0.9372          0.9394
146          5429.3899      0.2152          0.9813      0.9426              0.9382          0.9404
147          5465.6410      0.2163          0.9810      0.9417              0.9372          0.9394
148          5501.8238      0.1750          0.9801      0.9380              0.9353          0.9366
149          5537.5570      0.1920          0.9804      0.9398              0.9353          0.9375
150          5573.4123      0.1683          0.9801      0.9388              0.9343          0.9366
